"word","buyer","total_amount"
"bell","Administrative Tribunals Support Service of Canada",0
"airbus","Administrative Tribunals Support Service of Canada",0
"textron","Administrative Tribunals Support Service of Canada",0
"dynamics","Administrative Tribunals Support Service of Canada",0
"dettwiler","Administrative Tribunals Support Service of Canada",0
"atomics","Administrative Tribunals Support Service of Canada",0
"skyalyne","Veterans Affairs Canada",0
"vancouver shipyards","Veterans Affairs Canada",0
"cae","Veterans Affairs Canada",0
"f35","Veterans Affairs Canada",0
"bell","Veterans Affairs Canada",0
"airbus","Veterans Affairs Canada",0
"textron","Veterans Affairs Canada",0
"dynamics","Veterans Affairs Canada",0
"dettwiler","Veterans Affairs Canada",0
"atomics","Veterans Affairs Canada",0
"skyalyne","Office of the Commissioner of Official Languages",0
"vancouver shipyards","Office of the Commissioner of Official Languages",0
"cae","Office of the Commissioner of Official Languages",0
"f35","Office of the Commissioner of Official Languages",0
"airbus","Office of the Commissioner of Official Languages",0
"textron","Office of the Commissioner of Official Languages",0
"dynamics","Office of the Commissioner of Official Languages",0
"dettwiler","Office of the Commissioner of Official Languages",0
"atomics","Office of the Commissioner of Official Languages",0
"skyalyne","Canada Economic Development for Quebec Regions",0
"vancouver shipyards","Canada Economic Development for Quebec Regions",0
"cae","Canada Economic Development for Quebec Regions",0
"f35","Canada Economic Development for Quebec Regions",0
"airbus","Canada Economic Development for Quebec Regions",0
"textron","Canada Economic Development for Quebec Regions",0
"dettwiler","Canada Economic Development for Quebec Regions",0
"atomics","Canada Economic Development for Quebec Regions",0
"skyalyne","Canadian Grain Commission",0
"vancouver shipyards","Canadian Grain Commission",0
"cae","Canadian Grain Commission",0
"f35","Canadian Grain Commission",0
"airbus","Canadian Grain Commission",0
"textron","Canadian Grain Commission",0
"dynamics","Canadian Grain Commission",0
"dettwiler","Canadian Grain Commission",0
"atomics","Canadian Grain Commission",0
"skyalyne","Military Police Complaints Commission of Canada",0
"vancouver shipyards","Military Police Complaints Commission of Canada",0
"cae","Military Police Complaints Commission of Canada",0
"f35","Military Police Complaints Commission of Canada",0
"bell","Military Police Complaints Commission of Canada",0
"airbus","Military Police Complaints Commission of Canada",0
"textron","Military Police Complaints Commission of Canada",0
"dynamics","Military Police Complaints Commission of Canada",0
"dettwiler","Military Police Complaints Commission of Canada",0
"atomics","Military Police Complaints Commission of Canada",0
"skyalyne","Atlantic Canada Opportunities Agency",0
"vancouver shipyards","Atlantic Canada Opportunities Agency",0
"cae","Atlantic Canada Opportunities Agency",0
"f35","Atlantic Canada Opportunities Agency",0
"bell","Atlantic Canada Opportunities Agency",0
"airbus","Atlantic Canada Opportunities Agency",0
"textron","Atlantic Canada Opportunities Agency",0
"dynamics","Atlantic Canada Opportunities Agency",0
"dettwiler","Atlantic Canada Opportunities Agency",0
"atomics","Atlantic Canada Opportunities Agency",0
"skyalyne","Canadian Northern Economic Development Agency",0
"vancouver shipyards","Canadian Northern Economic Development Agency",0
"cae","Canadian Northern Economic Development Agency",0
"f35","Canadian Northern Economic Development Agency",0
"bell","Canadian Northern Economic Development Agency",0
"airbus","Canadian Northern Economic Development Agency",0
"textron","Canadian Northern Economic Development Agency",0
"dynamics","Canadian Northern Economic Development Agency",0
"dettwiler","Canadian Northern Economic Development Agency",0
"atomics","Canadian Northern Economic Development Agency",0
"skyalyne","Office of the Privacy Commissioner of Canada",0
"vancouver shipyards","Office of the Privacy Commissioner of Canada",0
"cae","Office of the Privacy Commissioner of Canada",0
"f35","Office of the Privacy Commissioner of Canada",0
"airbus","Office of the Privacy Commissioner of Canada",0
"textron","Office of the Privacy Commissioner of Canada",0
"dynamics","Office of the Privacy Commissioner of Canada",0
"dettwiler","Office of the Privacy Commissioner of Canada",0
"atomics","Office of the Privacy Commissioner of Canada",0
"skyalyne","Patented Medicine Prices Review Board Canada",0
"vancouver shipyards","Patented Medicine Prices Review Board Canada",0
"cae","Patented Medicine Prices Review Board Canada",0
"f35","Patented Medicine Prices Review Board Canada",0
"bell","Patented Medicine Prices Review Board Canada",0
"airbus","Patented Medicine Prices Review Board Canada",0
"textron","Patented Medicine Prices Review Board Canada",0
"dynamics","Patented Medicine Prices Review Board Canada",0
"dettwiler","Patented Medicine Prices Review Board Canada",0
"atomics","Patented Medicine Prices Review Board Canada",0
"skyalyne","Office of the Information Commissioner of Canada",0
"vancouver shipyards","Office of the Information Commissioner of Canada",0
"cae","Office of the Information Commissioner of Canada",0
"f35","Office of the Information Commissioner of Canada",0
"bell","Office of the Information Commissioner of Canada",0
"airbus","Office of the Information Commissioner of Canada",0
"textron","Office of the Information Commissioner of Canada",0
"dynamics","Office of the Information Commissioner of Canada",0
"dettwiler","Office of the Information Commissioner of Canada",0
"atomics","Office of the Information Commissioner of Canada",0
"skyalyne","Accessibility Standards Canada",0
"vancouver shipyards","Accessibility Standards Canada",0
"cae","Accessibility Standards Canada",0
"f35","Accessibility Standards Canada",0
"bell","Accessibility Standards Canada",0
"airbus","Accessibility Standards Canada",0
"textron","Accessibility Standards Canada",0
"dynamics","Accessibility Standards Canada",0
"dettwiler","Accessibility Standards Canada",0
"atomics","Accessibility Standards Canada",0
"skyalyne","National Security and Intelligence Review Agency",0
"vancouver shipyards","National Security and Intelligence Review Agency",0
"cae","National Security and Intelligence Review Agency",0
"f35","National Security and Intelligence Review Agency",0
"airbus","National Security and Intelligence Review Agency",0
"textron","National Security and Intelligence Review Agency",0
"dynamics","National Security and Intelligence Review Agency",0
"dettwiler","National Security and Intelligence Review Agency",0
"atomics","National Security and Intelligence Review Agency",0
"skyalyne","Office of the Secretary to the Governor General",0
"vancouver shipyards","Office of the Secretary to the Governor General",0
"cae","Office of the Secretary to the Governor General",0
"f35","Office of the Secretary to the Governor General",0
"bell","Office of the Secretary to the Governor General",0
"airbus","Office of the Secretary to the Governor General",0
"textron","Office of the Secretary to the Governor General",0
"dynamics","Office of the Secretary to the Governor General",0
"dettwiler","Office of the Secretary to the Governor General",0
"atomics","Office of the Secretary to the Governor General",0
"skyalyne","RCMP External Review Committee",0
"vancouver shipyards","RCMP External Review Committee",0
"cae","RCMP External Review Committee",0
"f35","RCMP External Review Committee",0
"bell","RCMP External Review Committee",0
"airbus","RCMP External Review Committee",0
"textron","RCMP External Review Committee",0
"dynamics","RCMP External Review Committee",0
"dettwiler","RCMP External Review Committee",0
"atomics","RCMP External Review Committee",0
"skyalyne","Office of the Commissioner of Lobbying of Canada",0
"vancouver shipyards","Office of the Commissioner of Lobbying of Canada",0
"cae","Office of the Commissioner of Lobbying of Canada",0
"f35","Office of the Commissioner of Lobbying of Canada",0
"airbus","Office of the Commissioner of Lobbying of Canada",0
"textron","Office of the Commissioner of Lobbying of Canada",0
"dynamics","Office of the Commissioner of Lobbying of Canada",0
"dettwiler","Office of the Commissioner of Lobbying of Canada",0
"atomics","Office of the Commissioner of Lobbying of Canada",0
"skyalyne","Invest in Canada",0
"vancouver shipyards","Invest in Canada",0
"cae","Invest in Canada",0
"f35","Invest in Canada",0
"bell","Invest in Canada",0
"airbus","Invest in Canada",0
"textron","Invest in Canada",0
"dynamics","Invest in Canada",0
"dettwiler","Invest in Canada",0
"atomics","Invest in Canada",0
"skyalyne","Veterans Review and Appeal Board",0
"vancouver shipyards","Veterans Review and Appeal Board",0
"cae","Veterans Review and Appeal Board",0
"f35","Veterans Review and Appeal Board",0
"bell","Veterans Review and Appeal Board",0
"airbus","Veterans Review and Appeal Board",0
"textron","Veterans Review and Appeal Board",0
"dynamics","Veterans Review and Appeal Board",0
"dettwiler","Veterans Review and Appeal Board",0
"atomics","Veterans Review and Appeal Board",0
"skyalyne","Farm Products Council of Canada",0
"vancouver shipyards","Farm Products Council of Canada",0
"cae","Farm Products Council of Canada",0
"f35","Farm Products Council of Canada",0
"bell","Farm Products Council of Canada",0
"airbus","Farm Products Council of Canada",0
"textron","Farm Products Council of Canada",0
"dynamics","Farm Products Council of Canada",0
"dettwiler","Farm Products Council of Canada",0
"atomics","Farm Products Council of Canada",0
"skyalyne","The Correctional Investigator Canada",0
"vancouver shipyards","The Correctional Investigator Canada",0
"cae","The Correctional Investigator Canada",0
"f35","The Correctional Investigator Canada",0
"airbus","The Correctional Investigator Canada",0
"textron","The Correctional Investigator Canada",0
"dynamics","The Correctional Investigator Canada",0
"dettwiler","The Correctional Investigator Canada",0
"atomics","The Correctional Investigator Canada",0
"skyalyne","Office of the Public Sector Integrity Commissioner of Canada",0
"vancouver shipyards","Office of the Public Sector Integrity Commissioner of Canada",0
"cae","Office of the Public Sector Integrity Commissioner of Canada",0
"f35","Office of the Public Sector Integrity Commissioner of Canada",0
"airbus","Office of the Public Sector Integrity Commissioner of Canada",0
"textron","Office of the Public Sector Integrity Commissioner of Canada",0
"dynamics","Office of the Public Sector Integrity Commissioner of Canada",0
"dettwiler","Office of the Public Sector Integrity Commissioner of Canada",0
"atomics","Office of the Public Sector Integrity Commissioner of Canada",0
"skyalyne","Military Grievances External Review Committee",0
"vancouver shipyards","Military Grievances External Review Committee",0
"cae","Military Grievances External Review Committee",0
"f35","Military Grievances External Review Committee",0
"bell","Military Grievances External Review Committee",0
"airbus","Military Grievances External Review Committee",0
"textron","Military Grievances External Review Committee",0
"dynamics","Military Grievances External Review Committee",0
"dettwiler","Military Grievances External Review Committee",0
"atomics","Military Grievances External Review Committee",0
"skyalyne","Prairies Economic Development Canada",0
"vancouver shipyards","Prairies Economic Development Canada",0
"cae","Prairies Economic Development Canada",0
"f35","Prairies Economic Development Canada",0
"bell","Prairies Economic Development Canada",0
"airbus","Prairies Economic Development Canada",0
"textron","Prairies Economic Development Canada",0
"dynamics","Prairies Economic Development Canada",0
"dettwiler","Prairies Economic Development Canada",0
"atomics","Prairies Economic Development Canada",0
"skyalyne","Office of the Intelligence Commissioner",0
"vancouver shipyards","Office of the Intelligence Commissioner",0
"cae","Office of the Intelligence Commissioner",0
"f35","Office of the Intelligence Commissioner",0
"bell","Office of the Intelligence Commissioner",0
"airbus","Office of the Intelligence Commissioner",0
"textron","Office of the Intelligence Commissioner",0
"dynamics","Office of the Intelligence Commissioner",0
"dettwiler","Office of the Intelligence Commissioner",0
"atomics","Office of the Intelligence Commissioner",0
"skyalyne","Pacific Economic Development Canada",0
"vancouver shipyards","Pacific Economic Development Canada",0
"cae","Pacific Economic Development Canada",0
"f35","Pacific Economic Development Canada",0
"bell","Pacific Economic Development Canada",0
"airbus","Pacific Economic Development Canada",0
"textron","Pacific Economic Development Canada",0
"dynamics","Pacific Economic Development Canada",0
"dettwiler","Pacific Economic Development Canada",0
"atomics","Pacific Economic Development Canada",0
"skyalyne","Federal Economic Development Agency for Northern Ontario",0
"vancouver shipyards","Federal Economic Development Agency for Northern Ontario",0
"cae","Federal Economic Development Agency for Northern Ontario",0
"f35","Federal Economic Development Agency for Northern Ontario",0
"bell","Federal Economic Development Agency for Northern Ontario",0
"airbus","Federal Economic Development Agency for Northern Ontario",0
"textron","Federal Economic Development Agency for Northern Ontario",0
"dynamics","Federal Economic Development Agency for Northern Ontario",0
"dettwiler","Federal Economic Development Agency for Northern Ontario",0
"atomics","Federal Economic Development Agency for Northern Ontario",0
"skyalyne","National Gallery of Canada",0
"vancouver shipyards","National Gallery of Canada",0
"cae","National Gallery of Canada",0
"f35","National Gallery of Canada",0
"bell","National Gallery of Canada",0
"airbus","National Gallery of Canada",0
"textron","National Gallery of Canada",0
"dynamics","National Gallery of Canada",0
"dettwiler","National Gallery of Canada",0
"atomics","National Gallery of Canada",0
"skyalyne","Law Commission of Canada",0
"vancouver shipyards","Law Commission of Canada",0
"cae","Law Commission of Canada",0
"f35","Law Commission of Canada",0
"bell","Law Commission of Canada",0
"airbus","Law Commission of Canada",0
"textron","Law Commission of Canada",0
"dynamics","Law Commission of Canada",0
"dettwiler","Law Commission of Canada",0
"atomics","Law Commission of Canada",0
